agency,expenses,year
Department of Veterans Affairs,9.778918,2008
Department of Veterans Affairs,56.631558,2010
Department of Veterans Affairs,20.726,2011
Department of Veterans Affairs,8.431318,2010
Department of Veterans Affairs,17.213,2009
Department of Veterans Affairs,43.717105,2011
Department of Veterans Affairs,60.51,2013
Department of Veterans Affairs,3.825,2013
Department of Veterans Affairs,11.5,2012
Department of Veterans Affairs,43.828,2012
Department of Veterans Affairs,22.53,2014
Department of Veterans Affairs,135.864,2012
Department of Veterans Affairs,36.323,2013
Department of Veterans Affairs,77.153,2012
Department of Veterans Affairs,38.28,2012
Department of Veterans Affairs,38.67,2011
Department of Veterans Affairs,62.629,2010
Department of Veterans Affairs,1.937422,2009
Department of Veterans Affairs,6.628798,2008
Department of Veterans Affairs,1.8,2012
Department of Veterans Affairs,7.378058,2011
Department of Veterans Affairs,1.958668,2010
Department of Veterans Affairs,8.4308,2011
Department of Veterans Affairs,23.178888,2011
Department of Veterans Affairs,151.4,2011
Department of Veterans Affairs,2,2012
Department of Veterans Affairs,71.293646,2012
Department of Veterans Affairs,100.165,2012
Department of Veterans Affairs,102.047069,2012
Department of Veterans Affairs,9.853875,2013
Department of Veterans Affairs,12,2012
Department of Veterans Affairs,14.18,2013
Department of Veterans Affairs,4.4,2012
Department of Veterans Affairs,93.976,2014
Department of Veterans Affairs,43.752,2010
Department of Veterans Affairs,6.723,2009
Department of Veterans Affairs,0.5,2012
Department of Veterans Affairs,5.79022,2010
Department of Veterans Affairs,3.375,2013
Department of Veterans Affairs,2.066527,2013
Department of Veterans Affairs,10.442333,2012
Department of Veterans Affairs,10.442333,2012
Department of Veterans Affairs,31.18,2013
Department of Veterans Affairs,13.63564,2011
Department of Veterans Affairs,76.3,2011
Department of Veterans Affairs,22.981917,2012
Department of Veterans Affairs,0.54,2012
Department of Veterans Affairs,0.175,2012
Department of Veterans Affairs,3.249673,2011
Department of Veterans Affairs,2.6,2010
Department of Veterans Affairs,6.249673,2012
Department of Veterans Affairs,2.7,2012
Department of Veterans Affairs,34.801,2011
Department of Veterans Affairs,34.125,2010
Department of Veterans Affairs,25.825736,2011
Department of Veterans Affairs,7.563,2011
Department of Veterans Affairs,11.5,2010
Department of Veterans Affairs,16.148671,2010
Department of Veterans Affairs,38.603,2010
Department of Veterans Affairs,0.1459,2013
Department of Veterans Affairs,3.626,2010
Department of Veterans Affairs,5.679,2013
Department of Veterans Affairs,0.31,2012
Department of Veterans Affairs,4.67096,2009
Department of Veterans Affairs,5.754363,2011
Department of Veterans Affairs,1,2014
Department of Veterans Affairs,0.6,2013
Department of Veterans Affairs,49,2012
Department of Veterans Affairs,1.414,2014
Department of Veterans Affairs,5.937,2012
Department of Veterans Affairs,12.571,2012
Department of Veterans Affairs,27.08,2012
Department of Veterans Affairs,86.697339,2012
Department of Veterans Affairs,1.0E-6,2013
Department of Veterans Affairs,1.0E-6,2013
Department of Veterans Affairs,8.923,2011
Department of Veterans Affairs,4.383,2014
Department of Veterans Affairs,3.05,2014
Department of Veterans Affairs,3.552,2014
Department of Veterans Affairs,11.048,2013
Department of Veterans Affairs,10.836,2013
Department of Veterans Affairs,5.923,2013
Department of Veterans Affairs,11.263,2011
Department of Veterans Affairs,21.258,2009
Department of Veterans Affairs,51.128,2010
Department of Veterans Affairs,40.710699,2008
Department of Veterans Affairs,89.512,2010
Department of Veterans Affairs,7.684208,2010
Department of Veterans Affairs,55,2012
Department of Veterans Affairs,9.413399,2013
Department of Veterans Affairs,3.506,2012
Department of Veterans Affairs,0.63725,2010
Department of Veterans Affairs,0.918,2012
Department of Veterans Affairs,66.601,2012
Department of Veterans Affairs,29.913,2012
Department of Veterans Affairs,62.472666,2014
Department of Veterans Affairs,21.693,2009
Department of Veterans Affairs,5.094378,2011
Department of Veterans Affairs,2.88,2014
Department of Veterans Affairs,19.42,2011
Department of Veterans Affairs,204.286,2010
Department of Veterans Affairs,11.947,2011
Department of Veterans Affairs,2.567,2010
Department of Veterans Affairs,16.867,2010
Department of Veterans Affairs,49.94,2011
Department of Veterans Affairs,25.026,2010
Department of Veterans Affairs,5.101,2012
Department of Veterans Affairs,48.61,2010
Department of Veterans Affairs,16.845,2011
Department of Veterans Affairs,23.767668,2011
Department of Veterans Affairs,2.043462,2011
Department of Veterans Affairs,20.914,2011
Department of Veterans Affairs,2.297604,2011
Department of Veterans Affairs,17.883,2010
Department of Veterans Affairs,7.348,2013
Department of Veterans Affairs,0.23,2012
Department of Veterans Affairs,11.94,2012
Department of Veterans Affairs,25.027,2013
Department of Veterans Affairs,12.985,2012
Department of Veterans Affairs,26.5,2013
Department of Veterans Affairs,73.26,2009
Department of Veterans Affairs,9.462,2010
Department of Veterans Affairs,9.761,2010
Department of Veterans Affairs,8.404,2009
Department of Veterans Affairs,2.1,2013
Department of Veterans Affairs,19.83,2010
Department of Veterans Affairs,38.051,2011
Department of Veterans Affairs,1.835,2012
Department of Veterans Affairs,3.528,2012
Department of Veterans Affairs,1.9,2014
Department of Veterans Affairs,20.207,2013
Department of Veterans Affairs,40.228,2009
Department of Veterans Affairs,55.677,2011
Department of Veterans Affairs,4.514,2009
Department of Veterans Affairs,2.1,2009
Department of Veterans Affairs,4.983,2008
Department of Veterans Affairs,0.839,2008
Department of Veterans Affairs,4.96,2010
Department of Veterans Affairs,9.65,2011
Department of Veterans Affairs,2.149,2011
Department of Veterans Affairs,4.983,2008
Department of Veterans Affairs,0.325,2012
Department of Veterans Affairs,2.9,2011
Department of Veterans Affairs,5.183,2014
Department of Veterans Affairs,1.073,2013
Department of Veterans Affairs,1.987,2014
Department of Veterans Affairs,12.081107,2008
Department of Veterans Affairs,8.024191,2010
Department of Veterans Affairs,9.098994,2006
Department of Veterans Affairs,8.389892,2010
Department of Veterans Affairs,38.69,2007
Department of Veterans Affairs,1.321277,2009
Department of Veterans Affairs,5.6,2009
Department of Veterans Affairs,2.368,2009
Department of Veterans Affairs,0.79091,2012
Department of Veterans Affairs,2.325672,2010
Department of Veterans Affairs,33.91,2012
Department of Veterans Affairs,1.385716,2010
Department of Veterans Affairs,10.697534,2010
Department of Veterans Affairs,0.888648,2010
Department of Veterans Affairs,0.797936,2012
Department of Veterans Affairs,1.235454,2012
Department of Veterans Affairs,1.642335,2010
Department of Veterans Affairs,11.42826,2011
Department of Veterans Affairs,10.249257,2011
Department of Veterans Affairs,7.717521,2012
Department of Veterans Affairs,4.010356,2012
Department of Veterans Affairs,3.205615,2012
Department of Veterans Affairs,8.851137,2011
Department of Veterans Affairs,3.065255,2008
Department of Veterans Affairs,12.826246,2008
Department of Veterans Affairs,8.158082,2008
Department of Veterans Affairs,2.901443,2011
Department of Veterans Affairs,23.558073,2010
Department of Veterans Affairs,18.328371,2011
Department of Veterans Affairs,11.991541,2011
Department of Veterans Affairs,23.707349,2011
Department of Veterans Affairs,23.707349,2011
Department of Veterans Affairs,68.69,2010
Department of Veterans Affairs,16.769,2010
Department of Veterans Affairs,24.959,2010
Department of Veterans Affairs,45.475,2010
Department of Veterans Affairs,6.486,2010
Department of Veterans Affairs,1.73,2012
Department of Veterans Affairs,1.76,2011
Department of Veterans Affairs,0.75,2012
Department of Veterans Affairs,82.314426,2013
Department of Veterans Affairs,55.7,2011
Department of Veterans Affairs,0.747285,2012
Department of Veterans Affairs,1.748,2012
Department of Veterans Affairs,4.168464,2012
Department of Veterans Affairs,122.23706,2011
Department of Veterans Affairs,6.091,2011
Department of Veterans Affairs,68.349438,2010
Department of Veterans Affairs,3.42035,2013
Department of Veterans Affairs,2.271706,2014
Department of Veterans Affairs,4.608063,2012
Department of Veterans Affairs,0.4,2012
Department of Veterans Affairs,8,2013
Department of Veterans Affairs,16,2013
Department of Veterans Affairs,2.939998,2012
Department of Veterans Affairs,2.939998,2012
Department of Veterans Affairs,2.178655,2013
Department of Veterans Affairs,2.178655,2013
Department of Veterans Affairs,2.178655,2013
Department of Veterans Affairs,2.178655,2013
Department of Veterans Affairs,2.178655,2013
Department of Veterans Affairs,2.178655,2013
Department of Veterans Affairs,2.178655,2013
Department of Veterans Affairs,3.5,2012
Department of Veterans Affairs,1.286912,2012
Department of Veterans Affairs,1.13665,2010
Department of Veterans Affairs,0.84817,2012
Department of Veterans Affairs,1.991782,2011
Department of Veterans Affairs,2.0775,2012
Department of Veterans Affairs,24.8,2012
Department of Veterans Affairs,59.619736,2011
Department of Veterans Affairs,2.178655,2013
Department of Veterans Affairs,2.9,2011
Department of Veterans Affairs,2.4,2011
Department of Veterans Affairs,2.757229,2011
Department of Veterans Affairs,2.757229,2011
Department of Veterans Affairs,5.258807,2011
Department of Veterans Affairs,2.896722,2011
Department of Veterans Affairs,7.286164,2011
Department of Veterans Affairs,7.335468,2014
Department of Veterans Affairs,4.515913,2014
Department of Veterans Affairs,3.87479,2014
Department of Veterans Affairs,3.87479,2014
Department of Veterans Affairs,3.8748,2014
Department of Veterans Affairs,4,2014
Department of Veterans Affairs,3.17,2014
Department of Veterans Affairs,4.428,2013
Department of Veterans Affairs,3.823553,2014
Department of Veterans Affairs,3.823553,2014
Department of Veterans Affairs,3.721649,2014
Department of Veterans Affairs,1.114401,2015
Department of Veterans Affairs,2.524289,2014
Department of Veterans Affairs,3.721628,2014
Department of Veterans Affairs,5.6,2014
Department of Veterans Affairs,5.963222,2014
Department of Veterans Affairs,4.565297,2014
Department of Veterans Affairs,2.170452,2015
Department of Veterans Affairs,4.280621,2015
Department of Veterans Affairs,0.361029,2015
Department of Veterans Affairs,8.153,2013
Department of Veterans Affairs,1.657905,2013
Department of Veterans Affairs,2.036736,2015
Department of Veterans Affairs,0.196211,2015
Department of Veterans Affairs,1,2014
Department of Veterans Affairs,1.508949,2015
Department of Veterans Affairs,0.704176,2015
Department of Veterans Affairs,1.810738,2015
Department of Veterans Affairs,1.911335,2015
Department of Veterans Affairs,2.011931,2015
Department of Veterans Affairs,2.112528,2015
Department of Veterans Affairs,2.617805,2015
Department of Veterans Affairs,2.336929,2015
Department of Veterans Affairs,2.333599,2015
Department of Veterans Affairs,2.259217,2015
Department of Veterans Affairs,0.815982,2015
Department of Veterans Affairs,0.77681,2015
Department of Veterans Affairs,30.024,2014
Department of Veterans Affairs,0.487,2014
U.S. Army Corps of Engineers,0.1,2013
U.S. Army Corps of Engineers,0.25,2013
U.S. Army Corps of Engineers,1,2013
U.S. Army Corps of Engineers,12.047,1997
U.S. Army Corps of Engineers,5.774678,2007
U.S. Army Corps of Engineers,2.5,2014
U.S. Army Corps of Engineers,0.525,2014
U.S. Army Corps of Engineers,1,2015
U.S. Army Corps of Engineers,1.15,2015
U.S. Army Corps of Engineers,0.605,2009
U.S. Army Corps of Engineers,0.65,2011
U.S. Army Corps of Engineers,0.65,2013
U.S. Army Corps of Engineers,0.7,2012
U.S. Army Corps of Engineers,1.375,2010
U.S. Army Corps of Engineers,0.5,2010
U.S. Army Corps of Engineers,0.775,2012
U.S. Army Corps of Engineers,1.25,2011
U.S. Army Corps of Engineers,1.73,2011
U.S. Army Corps of Engineers,2.5,2013
U.S. Army Corps of Engineers,3.93322,2011
U.S. Army Corps of Engineers,4.61155,2012
U.S. Army Corps of Engineers,1.75,2010
U.S. Army Corps of Engineers,1.206,2010
U.S. Army Corps of Engineers,2.4,2011
U.S. Army Corps of Engineers,1.1,2013
U.S. Army Corps of Engineers,1.15,2014
U.S. Army Corps of Engineers,1.4,2014
Environmental Protection Agency,1.72,2012
Environmental Protection Agency,6.69,2012
Environmental Protection Agency,7.416,2013
Environmental Protection Agency,10.416,2014
Environmental Protection Agency,0.2218,2012
Environmental Protection Agency,0.1546,2012
Environmental Protection Agency,0.1546,2012
Environmental Protection Agency,0.181,2012
Environmental Protection Agency,2.0681,2012
Environmental Protection Agency,0.1546,2012
Environmental Protection Agency,0.1546,2012
Environmental Protection Agency,0.1546,2012
Environmental Protection Agency,0.1546,2012
Environmental Protection Agency,0.1342,2012
Environmental Protection Agency,0.1546,2012
Environmental Protection Agency,0.940374,2012
Environmental Protection Agency,0.2218,2014
Environmental Protection Agency,0.1546,2014
Environmental Protection Agency,0.1546,2014
Environmental Protection Agency,0.181,2014
Environmental Protection Agency,2.0681,2014
Environmental Protection Agency,0.1546,2014
Environmental Protection Agency,0.1546,2014
Environmental Protection Agency,0.1546,2014
Environmental Protection Agency,0.1546,2014
Environmental Protection Agency,0.1342,2014
Environmental Protection Agency,0.1546,2014
Environmental Protection Agency,0.940374,2014
Environmental Protection Agency,0.2218,2013
Environmental Protection Agency,0.1546,2013
Environmental Protection Agency,0.1546,2013
Environmental Protection Agency,0.181,2013
Environmental Protection Agency,2.0681,2013
Environmental Protection Agency,0.1546,2013
Environmental Protection Agency,0.1546,2013
Environmental Protection Agency,0.1546,2013
Environmental Protection Agency,0.1546,2013
Environmental Protection Agency,0.1342,2013
Environmental Protection Agency,0.1546,2013
Environmental Protection Agency,0.940374,2013
Environmental Protection Agency,2.33,2010
Environmental Protection Agency,1.2,2013
Environmental Protection Agency,92.02,2008
Environmental Protection Agency,6.913,2012
Environmental Protection Agency,1.099,2012
Environmental Protection Agency,0.953,2012
Environmental Protection Agency,1.2,2012
Environmental Protection Agency,1.671,2012
Environmental Protection Agency,0.8,2013
Environmental Protection Agency,4.2,2013
Environmental Protection Agency,1.5,2013
Environmental Protection Agency,0.5,2013
Environmental Protection Agency,1.2,2013
Environmental Protection Agency,1.086,2013
Environmental Protection Agency,4.376594,2011
Environmental Protection Agency,6.914,2011
Environmental Protection Agency,5.287116,2011
Environmental Protection Agency,1.23,2012
Environmental Protection Agency,1.35,2013
General Services Administration,1.22,2012
General Services Administration,0.776,2012
General Services Administration,3.698,2012
General Services Administration,0.855,2013
General Services Administration,1.219,2013
General Services Administration,1.745,2013
General Services Administration,0.84,2014
General Services Administration,1.35,2014
General Services Administration,2.436,2014
General Services Administration,1,2012
General Services Administration,1.93,2012
General Services Administration,1.2,2012
General Services Administration,0.15,2012
General Services Administration,0.6,2013
General Services Administration,0.7,2013
General Services Administration,0.1,2013
General Services Administration,0.4,2014
General Services Administration,0.3,2014
General Services Administration,0.05,2014
General Services Administration,0.233,2011
General Services Administration,0.116,2011
General Services Administration,0.146,2011
General Services Administration,2.243,2011
General Services Administration,0.375,2012
General Services Administration,0.221177,2012
General Services Administration,0.212005,2012
General Services Administration,2.3,2013
General Services Administration,8.308439,2013
General Services Administration,3.602,2012
General Services Administration,2.5543,2013
General Services Administration,6.398,2014
General Services Administration,0.525,2011
General Services Administration,1.149,2012
General Services Administration,0.331,2012
General Services Administration,0.369,2012
General Services Administration,0.28,2012
General Services Administration,1.4,2013
General Services Administration,5.184,2013
General Services Administration,6.936,2014
General Services Administration,1.921,2013
General Services Administration,0.465,2013
General Services Administration,0.092739,2013
General Services Administration,21.058,2012
General Services Administration,2.5,2011
General Services Administration,1.5,2011
General Services Administration,0.25,2011
General Services Administration,0.684,2011
General Services Administration,0.26,2011
General Services Administration,0.475,2011
General Services Administration,0.065,2011
General Services Administration,0.5,2011
General Services Administration,6.169,2012
General Services Administration,1,2012
General Services Administration,0.311,2012
General Services Administration,0.456,2012
General Services Administration,0.15,2012
General Services Administration,0.5,2012
General Services Administration,15,2010
General Services Administration,3.894,2013
General Services Administration,4.476,2013
General Services Administration,0.507,2013
General Services Administration,0.9,2013
General Services Administration,1.037,2013
General Services Administration,0.725,2013
General Services Administration,2.75,2013
General Services Administration,12.63,2014
General Services Administration,1.5,2014
General Services Administration,0.3,2014
General Services Administration,14.565,2012
General Services Administration,9.188988,2014
General Services Administration,0.25,2014
General Services Administration,9.3378,2013
General Services Administration,0.95,2013
General Services Administration,1.15,2013
General Services Administration,2.451,2010
General Services Administration,0.72,2014
General Services Administration,0.242,2012
General Services Administration,5.34416,2011
General Services Administration,14.652003,2013
General Services Administration,2.13882,2013
General Services Administration,1.45184,2014
General Services Administration,0.227,2012
General Services Administration,0.5,2012
General Services Administration,0.75,2012
General Services Administration,0.227,2012
General Services Administration,1.75,2012
General Services Administration,0.5,2012
General Services Administration,0.5,2012
General Services Administration,0.5,2013
General Services Administration,0.25,2013
General Services Administration,0.25,2013
General Services Administration,12.467,2013
General Services Administration,5.642,2014
General Services Administration,0.35,2012
General Services Administration,0.571,2013
General Services Administration,3.2,2013
General Services Administration,2.02,2013
General Services Administration,2.1,2013
General Services Administration,1.179,2013
General Services Administration,0.25,2013
General Services Administration,0.25,2013
General Services Administration,0.285,2013
General Services Administration,1.005,2013
General Services Administration,1.0E-4,2013
General Services Administration,0.28,2013
General Services Administration,0.25,2013
General Services Administration,0.26,2013
General Services Administration,0.17,2012
General Services Administration,0.3,2012
General Services Administration,0.3,2013
General Services Administration,0.3,2014
General Services Administration,37.935,2007
General Services Administration,0.846,2012
General Services Administration,1.17,2012
General Services Administration,0.156647,2011
General Services Administration,0.08,2011
General Services Administration,0.103,2011
General Services Administration,0.105,2011
General Services Administration,0.351,2012
General Services Administration,0.367,2012
General Services Administration,0.456,2012
General Services Administration,0.1997,2012
General Services Administration,0.266,2014
General Services Administration,0.109,2014
General Services Administration,0.4,2014
General Services Administration,0.075,2013
General Services Administration,0.277,2014
General Services Administration,0.316,2015
General Services Administration,0.501,2013
General Services Administration,0.033,2013
General Services Administration,0.264,2013
General Services Administration,0.12,2013
General Services Administration,3.0701,2012
General Services Administration,1.824522,2012
General Services Administration,1.149,2013
General Services Administration,0.827,2014
General Services Administration,11.258,2012
General Services Administration,40,2009
General Services Administration,0.525,2012
General Services Administration,1.4,2012
General Services Administration,1.4,2013
General Services Administration,1.26,2014
General Services Administration,0.469411,2012
General Services Administration,19.094,2012
National Aeronautics and Space Administration,0.25,2012
National Aeronautics and Space Administration,1.5,2012
National Aeronautics and Space Administration,0.5,2012
National Aeronautics and Space Administration,13,2011
National Aeronautics and Space Administration,116.733,2011
National Aeronautics and Space Administration,26.7,2011
National Aeronautics and Space Administration,98.23,2011
National Aeronautics and Space Administration,30.6,2011
National Aeronautics and Space Administration,16.489,2011
National Aeronautics and Space Administration,21.201,2011
National Aeronautics and Space Administration,42.979,2011
National Aeronautics and Space Administration,9.150014,2012
National Archives and Records Administration,0.35,2012
National Archives and Records Administration,0.237,2012
National Archives and Records Administration,0.85,2012
National Archives and Records Administration,0.338,2013
National Archives and Records Administration,0.223,2013
National Archives and Records Administration,1.289,2014
National Archives and Records Administration,0.542,2014
National Archives and Records Administration,1.397,2014
National Archives and Records Administration,0.218,2013
National Archives and Records Administration,0.45,2011
National Archives and Records Administration,2.976,2011
National Archives and Records Administration,3.862,2011
National Archives and Records Administration,1.92,2013
National Archives and Records Administration,1.98,2012
National Archives and Records Administration,0.305,2013
National Archives and Records Administration,0.22,2013
National Archives and Records Administration,0.12,2013
National Archives and Records Administration,0.05,2013
National Archives and Records Administration,0.49,2014
National Archives and Records Administration,0.34,2014
National Archives and Records Administration,0.11,2013
National Archives and Records Administration,0.352,2011
National Archives and Records Administration,0.352,2012
National Archives and Records Administration,0.352,2012
National Archives and Records Administration,0.352,2012
National Archives and Records Administration,0.352,2013
National Archives and Records Administration,0.25,2013
National Archives and Records Administration,1.555,2014
National Archives and Records Administration,0.974,2013
National Archives and Records Administration,0.054,2013
National Archives and Records Administration,0.132,2013
National Archives and Records Administration,0.054,2013
National Archives and Records Administration,1.81,2012
National Archives and Records Administration,7.75,2012
National Archives and Records Administration,7.34,2012
National Archives and Records Administration,8.1,2012
National Archives and Records Administration,0.31,2014
National Archives and Records Administration,1.823,2011
National Archives and Records Administration,2.569126,2012
National Archives and Records Administration,2.407588,2011
National Archives and Records Administration,0.312327,2013
National Archives and Records Administration,0.734447,2013
National Archives and Records Administration,0.846699,2013
National Archives and Records Administration,0.385887,2013
National Archives and Records Administration,0.510943,2013
National Science Foundation,1.027,2012
National Science Foundation,1.14,2012
National Science Foundation,2.222,2012
National Science Foundation,2.788,2012
National Science Foundation,0.265,2012
National Science Foundation,1.385,2012
National Science Foundation,19.9,2012
National Science Foundation,3.126,2012
National Science Foundation,2.292,2014
National Science Foundation,6.004,2012
National Science Foundation,8.64,2012
National Science Foundation,2.352,2012
National Science Foundation,2.368,2013
National Science Foundation,4.808,2014
National Science Foundation,0.767,2013
National Science Foundation,3.947,2013
National Science Foundation,8.761,2012
National Science Foundation,3.208,2010
National Science Foundation,13.172,2012
National Science Foundation,0.892,2013
National Science Foundation,2.315,2014
National Science Foundation,1.601,2014
National Science Foundation,1.975,2014
Nuclear Regulatory Commission,0.32,2012
Nuclear Regulatory Commission,0.6,2012
Nuclear Regulatory Commission,0.84,2012
Nuclear Regulatory Commission,0.952,2012
Nuclear Regulatory Commission,0.6,2014
Nuclear Regulatory Commission,1.2,2014
Nuclear Regulatory Commission,1.52,2014
Nuclear Regulatory Commission,0.285,2013
Nuclear Regulatory Commission,0.6,2013
Nuclear Regulatory Commission,1.2,2013
Nuclear Regulatory Commission,1.52,2013
Nuclear Regulatory Commission,0.285,2014
Nuclear Regulatory Commission,0.125,2013
Nuclear Regulatory Commission,0.113,2013
Nuclear Regulatory Commission,0.025,2013
Nuclear Regulatory Commission,0.59765,2014
Nuclear Regulatory Commission,0.577,2012
Nuclear Regulatory Commission,0.175,2012
Nuclear Regulatory Commission,0.30225,2013
Nuclear Regulatory Commission,0.075,2014
Nuclear Regulatory Commission,5.358,2011
Nuclear Regulatory Commission,1.1,2011
Nuclear Regulatory Commission,1.325,2012
Nuclear Regulatory Commission,0.5358,2013
Nuclear Regulatory Commission,0.4752,2013
Nuclear Regulatory Commission,0.55725,2014
Nuclear Regulatory Commission,0.876,2011
Nuclear Regulatory Commission,0.394,2012
Nuclear Regulatory Commission,0.415,2012
Nuclear Regulatory Commission,0.92112,2013
Nuclear Regulatory Commission,0.94963,2014
Nuclear Regulatory Commission,0.1,2012
Nuclear Regulatory Commission,4.2,2013
Nuclear Regulatory Commission,48.979,2010
Nuclear Regulatory Commission,0.35,2013
Nuclear Regulatory Commission,1,2014
Nuclear Regulatory Commission,1.3,2012
Nuclear Regulatory Commission,0.28,2012
Nuclear Regulatory Commission,1.55,2012
Nuclear Regulatory Commission,0.05,2012
Nuclear Regulatory Commission,0.2,2012
Nuclear Regulatory Commission,0.35,2012
Nuclear Regulatory Commission,0.735,2012
Nuclear Regulatory Commission,0.36,2012
Nuclear Regulatory Commission,0.82,2012
Nuclear Regulatory Commission,0.5,2012
Nuclear Regulatory Commission,0.6,2013
Nuclear Regulatory Commission,1.4,2013
Nuclear Regulatory Commission,0.1,2013
Nuclear Regulatory Commission,0.5,2013
Nuclear Regulatory Commission,0.933,2012
Nuclear Regulatory Commission,0.9,2012
Nuclear Regulatory Commission,28,2012
Nuclear Regulatory Commission,0.111,2012
Nuclear Regulatory Commission,0.111,2013
Nuclear Regulatory Commission,0.933,2013
Nuclear Regulatory Commission,0.9,2013
Nuclear Regulatory Commission,28.8,2013
Nuclear Regulatory Commission,1.363,2012
Nuclear Regulatory Commission,0.015,2012
Nuclear Regulatory Commission,0.244,2012
Nuclear Regulatory Commission,0.1795,2011
Nuclear Regulatory Commission,1.416,2013
Nuclear Regulatory Commission,3.997,2013
Nuclear Regulatory Commission,0.031,2013
Nuclear Regulatory Commission,0.688,2013
Nuclear Regulatory Commission,2.068,2012
Nuclear Regulatory Commission,2.296,2012
Nuclear Regulatory Commission,0.65,2011
Nuclear Regulatory Commission,2.552,2012
Nuclear Regulatory Commission,1.797,2013
Nuclear Regulatory Commission,1.364,2014
Nuclear Regulatory Commission,4.256,2013
Nuclear Regulatory Commission,4.49,2014
Nuclear Regulatory Commission,1.42,2012
Nuclear Regulatory Commission,21.002,2011
Office of Personnel Management,0.2,2012
Office of Personnel Management,4.29,2012
Office of Personnel Management,0.865,2011
Office of Personnel Management,13.4,2009
Office of Personnel Management,1.756617,2012
Office of Personnel Management,2.926295,2013
Office of Personnel Management,7.091,2013
Office of Personnel Management,7.756,2014
Office of Personnel Management,79.58982,2005
Office of Personnel Management,31.68908,2010
Office of Personnel Management,541.546,2004
Office of Personnel Management,72.804,2008
Office of Personnel Management,77.769,2011
Office of Personnel Management,29.284,2011
Office of Personnel Management,10.282,2012
Office of Personnel Management,101.548,2008
Office of Personnel Management,63.74,2012
Office of Personnel Management,84,2010
Office of Personnel Management,1.22,2011
Office of Personnel Management,0.706,2011
Office of Personnel Management,48.3,2011
Office of Personnel Management,2.984,2012
Office of Personnel Management,0.6,2012
Office of Personnel Management,11.364,2011
Office of Personnel Management,3.05,2012
Office of Personnel Management,0.01,2011
Office of Personnel Management,0.01,2012
Office of Personnel Management,0.01,2012
Office of Personnel Management,0.01,2012
Office of Personnel Management,0.025,2012
Office of Personnel Management,0.015,2012
Office of Personnel Management,0.651,2012
Office of Personnel Management,0.414697,2013
Office of Personnel Management,0.410957,2013
Office of Personnel Management,0.812677,2013
Office of Personnel Management,0.967995,2013
Office of Personnel Management,0.008604,2012
Office of Personnel Management,0.008604,2013
Office of Personnel Management,0.008604,2013
Office of Personnel Management,0.008604,2013
Office of Personnel Management,0.037409,2013
Office of Personnel Management,0.016348,2013
Office of Personnel Management,1.80767,2013
Office of Personnel Management,1.778123,2013
Office of Personnel Management,0.435,2014
Office of Personnel Management,0.853,2014
Office of Personnel Management,0.009,2013
Office of Personnel Management,0.009,2014
Office of Personnel Management,0.009,2014
Office of Personnel Management,0.039,2014
Office of Personnel Management,0.017,2014
Office of Personnel Management,1.898,2014
Office of Personnel Management,0.764,2013
Office of Personnel Management,0.2,2013
Office of Personnel Management,0.965,2013
Office of Personnel Management,0.2,2013
Office of Personnel Management,0.175,2014
Office of Personnel Management,0.175,2014
Small Business Administration,0.23125,2014
Small Business Administration,0.034,2011
Small Business Administration,1.224,2012
Small Business Administration,5.5845,2013
Small Business Administration,1.6192,2012
Small Business Administration,0.726,2012
Small Business Administration,3.552,2010
Small Business Administration,5.475,2010
Small Business Administration,0.388,2011
Small Business Administration,1.674,2013
Small Business Administration,1.7062,2014
Small Business Administration,0.293,2014
Small Business Administration,1.25,2011
Small Business Administration,5.696,2012
Small Business Administration,1.157388,2013
Small Business Administration,3.663249,2013
Small Business Administration,3.478275,2014
Small Business Administration,1.149389,2013
Small Business Administration,0.5,2013
Small Business Administration,2.25,2011
Small Business Administration,1.313,2013
Small Business Administration,1.5,2010
Small Business Administration,0.705,2013
Small Business Administration,0.985,2014
Small Business Administration,1.615,2011
Small Business Administration,8.001,2010
Small Business Administration,53.131,2010
Small Business Administration,3.22,2010
Small Business Administration,0.38,2011
Small Business Administration,0.3,2011
Small Business Administration,15.1,2011
Small Business Administration,3.4,2013
Small Business Administration,7.55,2013
Small Business Administration,3,2012
Small Business Administration,0.25,2013
Small Business Administration,0.456,2013
Small Business Administration,0.125,2013
Small Business Administration,0.24,2013
Small Business Administration,1.6,2011
Social Security Administration,46.36025,2011
Social Security Administration,2.82,2012
Social Security Administration,18.4,2012
Social Security Administration,6,2012
Social Security Administration,8.75,2012
Social Security Administration,9,2012
Social Security Administration,6.15,2012
Social Security Administration,19.1,2012
Social Security Administration,0.36,2012
Social Security Administration,0.2,2012
Social Security Administration,10,2013
Social Security Administration,2.6,2012
Social Security Administration,11.232,2013
Social Security Administration,5,2012
Social Security Administration,21.91,2013
Social Security Administration,11,2013
Social Security Administration,1.467,2014
Social Security Administration,49.90049,2011
Social Security Administration,7.88095,2012
Social Security Administration,8.82243,2012
Social Security Administration,2.82354,2012
Social Security Administration,0.73526,2012
Social Security Administration,1.07094,2012
Social Security Administration,0.19621,2012
Social Security Administration,18.207318,2013
Social Security Administration,2.567155,2013
Social Security Administration,10.2731,2014
Social Security Administration,2.787692,2014
Social Security Administration,11.987903,2011
Social Security Administration,6.158,2012
Social Security Administration,3.6262,2012
Social Security Administration,3.205,2012
Social Security Administration,0.27222,2012
Social Security Administration,0.444572,2012
Social Security Administration,6.529,2014
